"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"1101 MACRORREGIONAL II (CACOAL)",1,1,2,1,3,3,1,4,1,4,4,7,2,1,2,2,3,1,5,2,3,3,1,2,2,61
"1102 MACRORREGIAO I - PORTO VELHO",2,1,4,6,1,1,5,2,2,1,3,3,5,1,5,3,5,5,3,7,3,2,2,3,2,77
"1201 MACRO UNICA - AC",2,3,4,2,5,5,5,8,3,3,2,1,2,-,1,6,3,4,6,1,3,4,4,4,7,88
"1302 OESTE",1,-,-,3,1,1,1,1,3,1,1,-,2,-,-,-,1,1,2,1,3,2,3,2,2,32
"1303 LESTE",1,1,-,1,-,1,-,2,1,1,1,-,2,-,3,1,1,3,-,2,1,2,3,1,1,29
"1304 CENTRAL",7,11,12,10,16,12,14,8,13,13,7,15,11,15,12,20,17,13,15,16,11,19,17,15,22,341
"1401 MACRO-RORAIMA",1,1,3,-,3,1,1,-,1,1,3,3,1,-,1,1,-,2,3,4,-,3,1,5,6,45
"1509 MACRORREGIONAL IV",3,1,3,3,2,-,5,8,3,9,6,6,2,4,3,7,7,4,9,3,3,1,6,6,6,110
"1510 MACRORREGIONAL III",2,3,2,4,5,1,2,6,5,6,2,2,7,5,8,5,1,9,3,4,9,5,8,5,6,115
"1511 MACRORREGIONAL II",4,4,3,2,3,3,6,9,3,7,8,7,9,9,13,7,3,9,19,10,8,6,3,12,9,176
"1512 MACRORREGIONAL I",9,17,9,9,11,14,20,23,18,8,17,14,16,16,9,13,21,14,15,13,17,12,20,14,8,357
"1601 MACRO UNICA - AP",4,4,2,4,-,3,2,1,1,2,1,4,4,3,4,2,2,4,2,3,5,5,2,3,1,68
"1701 MACRORREGIAO NORTE",-,-,-,-,3,2,3,2,1,3,1,4,2,3,3,-,1,3,1,2,2,3,4,4,4,51
"1702 MACRORREGIAO CENTRO-SUL",1,-,3,2,1,1,7,2,1,4,1,1,3,4,4,1,2,2,4,2,7,-,-,-,3,56
"2109 MACRORREGIAO SUL",-,2,2,-,2,2,4,5,3,6,6,3,7,5,9,8,3,8,4,3,5,4,3,3,3,100
"2110 MACRORREGIAO NORTE",5,9,10,7,13,10,12,14,14,15,12,14,8,17,13,12,18,9,19,17,18,15,8,13,8,310
"2111 MACRORREGIAO LESTE",1,1,2,1,5,6,6,2,5,5,7,13,3,10,5,4,5,5,5,4,8,8,11,6,4,132
"2207 SEMI-ARIDO",-,1,-,-,3,2,1,4,1,1,4,2,3,2,2,2,1,1,3,1,6,5,4,3,3,55
"2208 MEIO NORTE",6,2,8,7,6,3,5,4,6,7,7,6,4,7,3,7,12,4,12,4,7,8,4,7,9,155
"2209 LITORAL",-,-,-,1,1,1,2,2,3,4,2,5,3,1,3,1,-,4,3,7,2,2,3,3,4,57
"2210 CERRADOS",-,1,1,-,1,-,2,1,2,1,-,8,4,1,1,1,-,1,2,2,2,1,2,2,1,37
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",1,6,2,3,1,-,2,1,6,1,4,3,4,-,4,1,-,1,4,1,3,1,1,2,1,53
"2307 4� MACRO - SERTAO CENTRAL",-,-,2,4,1,2,3,4,6,2,2,2,3,2,3,2,3,1,3,3,4,1,-,3,-,56
"2308 3� MACRO - CARIRI",7,2,3,4,5,2,7,7,7,8,4,9,7,10,6,6,5,8,6,8,7,7,7,5,6,153
"2309 2� MACRO - SOBRAL",1,4,4,2,10,5,8,6,9,11,8,7,9,9,7,2,11,8,6,7,5,5,4,11,2,161
"2310 1� MACRO - FORTALEZA",22,18,26,26,13,22,22,21,13,28,18,18,13,13,17,23,15,8,15,23,17,17,17,13,21,459
"2401 MACRORREGIAO II",3,1,3,2,2,2,6,3,-,3,2,2,6,-,3,2,3,1,4,3,4,1,2,3,2,63
"2402 MACRORREGIAO I",11,11,6,8,4,7,16,12,10,10,8,8,9,12,9,11,13,9,10,11,9,5,13,10,10,242
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",-,4,4,-,2,2,3,4,1,4,2,3,5,3,5,4,3,3,-,3,-,2,1,1,4,63
"2502 MACRORREGIAO II - CAMPINA GRANDE",-,2,-,2,1,1,5,3,2,5,3,7,3,3,4,2,4,7,-,5,5,1,7,1,1,74
"2503 MACRORREGIAO I - JOAO PESSOA",3,6,5,3,14,8,11,7,6,5,7,6,9,5,8,6,5,2,9,6,6,4,1,4,4,150
"2605 VALE DO S.FRANCISCO E ARARIPE",4,1,-,1,-,1,2,3,-,3,6,4,6,1,5,2,8,4,5,5,3,5,4,4,4,81
"2606 SERTAO",3,-,-,-,-,3,2,-,-,2,4,7,7,4,1,5,2,1,1,4,5,3,1,3,5,63
"2607 METROPOLITANA",16,12,18,19,18,17,19,18,21,13,24,25,16,20,17,15,13,15,13,18,19,17,12,12,14,421
"2608 AGRESTE",6,3,3,5,6,2,5,2,10,3,9,6,4,8,3,7,5,8,7,4,2,6,5,5,3,127
"2703 2� MACRORREGIAO DE SAUDE",1,2,-,1,4,3,2,6,2,3,4,4,2,3,3,2,4,6,6,4,4,2,6,6,2,82
"2704 1� MACRORREGIAO DE SAUDE",6,6,8,5,8,7,11,10,4,8,7,13,12,10,12,6,8,3,18,12,8,11,5,8,8,214
"2801 MACRO UNICA",3,5,8,8,7,7,9,10,9,12,5,4,12,8,8,7,8,6,7,4,10,8,10,6,5,186
"2910 SUL (NBS - ILHEUS)",3,3,5,3,4,7,7,10,7,5,4,6,5,2,9,6,5,7,3,2,2,4,6,1,5,121
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",1,2,3,4,6,3,3,2,6,2,4,9,9,3,4,2,8,2,3,7,8,6,3,4,4,108
"2912 OESTE (NBS - BARREIRAS)",2,-,2,-,1,3,2,-,1,3,1,2,-,1,5,4,2,2,2,-,2,-,2,2,3,42
"2913 NORTE - (NRS - JUAZEIRO)",2,-,2,4,5,2,2,-,6,2,2,3,2,2,2,6,3,3,3,3,5,2,4,6,2,73
"2914 NORDESTE (NRS - ALAGOINHAS)",-,4,1,1,2,3,1,2,1,4,3,3,3,3,4,3,1,2,2,2,4,5,3,2,3,62
"2915 LESTE - (NRS - SALVADOR)",14,8,15,12,8,18,18,10,5,22,14,5,12,13,11,9,13,14,14,14,8,21,12,17,6,313
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",1,2,4,2,2,1,3,3,1,2,2,4,-,3,1,1,2,6,2,-,2,-,2,1,2,49
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",5,-,3,4,7,8,3,5,9,6,10,5,2,4,5,6,10,1,6,6,6,5,4,5,3,128
"2918 CENTRO - NORTE (NRS - JACOBINA)",2,1,-,-,1,1,5,2,5,1,1,1,2,6,4,-,2,1,2,1,2,3,-,4,2,49
"3101 SUL",3,8,5,5,9,4,4,11,12,7,2,7,9,8,5,3,5,3,12,9,5,6,3,7,7,159
"3102 CENTRO SUL",1,1,4,3,3,4,3,4,1,1,2,2,1,4,1,1,3,4,1,-,3,2,1,2,4,56
"3103 CENTRO",17,16,34,19,21,31,14,28,23,21,15,15,20,28,15,18,21,17,8,14,18,13,17,13,16,472
"3104 JEQUITINHONHA",-,1,1,4,1,3,1,1,1,1,1,2,1,-,-,1,-,1,-,1,1,1,-,1,-,24
"3105 OESTE",6,2,3,2,3,3,2,8,2,3,7,2,2,4,3,3,1,2,6,-,2,-,4,1,4,75
"3106 LESTE",2,2,1,1,-,1,-,2,-,1,-,1,2,4,2,2,4,1,3,1,2,-,2,-,1,35
"3107 SUDESTE",4,2,6,8,10,8,3,7,4,1,3,1,6,3,2,9,2,5,6,4,6,2,3,1,3,109
"3108 NORTE",4,6,4,8,6,5,4,9,6,5,7,9,7,4,2,6,6,4,5,3,7,2,2,2,6,129
"3109 NOROESTE",2,1,3,4,3,-,2,1,1,3,1,2,4,-,4,5,1,2,2,1,1,1,2,1,2,49
"3110 LESTE DO SUL",2,2,2,1,1,-,5,2,3,3,4,1,1,-,2,1,4,2,1,1,3,3,1,4,4,53
"3111 NORDESTE",1,3,3,6,2,2,1,2,6,3,3,2,3,1,4,1,2,1,2,1,2,2,1,5,3,62
"3112 TRIANGULO DO SUL",2,4,2,2,2,3,4,3,2,2,3,4,2,-,1,5,1,2,1,2,2,3,1,4,1,58
"3113 TRIANGULO DO NORTE",8,6,5,5,3,2,-,3,3,2,2,2,5,2,4,6,2,3,2,5,4,1,2,3,-,80
"3114 VALE DO ACO",-,1,3,-,2,2,1,2,1,5,2,4,-,5,-,1,4,2,1,3,2,3,-,2,2,48
"3205 SUL",-,-,1,2,2,1,2,2,2,2,1,2,3,4,5,2,1,2,-,2,4,1,1,1,3,46
"3206 NORTE",-,2,2,1,1,3,1,1,-,1,2,2,-,-,1,-,-,2,1,2,-,2,2,-,1,27
"3207 METROPOLITANA",6,5,11,7,6,8,10,7,7,8,11,10,9,5,5,5,7,8,10,7,5,8,8,6,6,185
"3208 CENTRAL",2,2,-,3,1,3,5,2,2,1,2,4,2,4,3,2,4,3,3,4,1,1,7,3,-,64
