"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"1101 MACRORREGIONAL II (CACOAL)",-,1,1,1,-,-,1,1,-,3,1,-,2,1,2,-,-,1,1,-,-,-,2,1,-,19
"1102 MACRORREGIAO I - PORTO VELHO",-,-,-,1,1,1,1,-,-,1,1,-,-,-,3,-,-,1,-,2,1,-,-,1,4,18
"1201 MACRO UNICA - AC",-,2,-,1,4,-,4,1,-,3,2,1,2,1,1,2,1,-,1,1,-,5,-,1,2,35
"1302 OESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,3,-,-,-,7
"1303 LESTE",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,2,-,5
"1304 CENTRAL",2,1,1,2,1,7,2,2,7,5,2,2,4,4,4,2,2,4,-,3,3,4,6,2,4,76
"1401 MACRO-RORAIMA",1,1,2,-,-,-,1,-,1,-,-,1,2,1,-,1,2,-,1,-,-,-,1,-,-,15
"1509 MACRORREGIONAL IV",-,-,1,-,-,-,1,3,1,-,2,4,1,2,-,2,2,2,1,3,3,2,2,3,1,36
"1510 MACRORREGIONAL III",-,-,3,1,2,1,2,1,1,-,-,2,-,1,-,2,2,1,3,2,-,2,1,1,2,30
"1511 MACRORREGIONAL II",-,1,-,1,1,-,2,1,2,-,1,1,2,-,2,1,3,1,-,2,3,2,1,2,2,31
"1512 MACRORREGIONAL I",1,1,1,3,1,-,4,4,4,-,4,5,3,4,2,3,6,-,6,6,4,2,2,3,1,70
"1601 MACRO UNICA - AP",1,3,-,1,2,2,-,1,-,-,2,-,-,-,-,1,2,-,1,-,3,1,-,3,-,23
"1701 MACRORREGIAO NORTE",-,-,-,-,-,-,1,2,-,2,1,1,-,-,1,1,-,-,2,1,-,-,1,3,2,18
"1702 MACRORREGIAO CENTRO-SUL",-,1,-,-,1,1,4,-,-,1,-,2,-,-,-,1,-,1,3,2,1,2,1,-,-,21
