"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1101 MACRORREGIONAL II (CACOAL)",84997,84090,83120,82071,80859,79412,77950,76681,75523,74410,73357,72815,71482,69522,67469,65500,63362,61566,60174,58868,57491
"1102 MACRORREGIAO I - PORTO VELHO",81099,82176,83071,83740,84161,84321,84387,84525,84751,85019,85255,86330,86597,86220,85652,85199,83408,82060,81255,80570,79795
"1201 MACRO UNICA - AC",71683,72550,73619,74914,76447,78211,80207,82449,84777,86957,88826,90507,91818,92691,92861,93095,93025,92452,91992,91501,89474
"1302 OESTE",60930,60330,59862,59558,59450,59483,60070,60862,61655,62097,62051,62130,61425,60285,58948,58099,57327,57064,57159,57587,57524
"1303 LESTE",61748,61307,60962,60730,60670,60778,62780,65019,67256,69148,70424,70051,68825,67124,65209,63841,62667,62054,61828,61960,61538
"1304 CENTRAL",226884,230916,235185,239859,245143,251177,255843,261462,267074,271210,273014,275416,274532,271731,268114,266651,266296,268247,271935,277221,280115
"1401 MACRO-RORAIMA",39505,40586,41743,42964,44216,45462,46816,48411,50065,51497,52543,52840,52446,51865,51676,51195,50739,51160,52010,52601,53536
"1509 MACRORREGIONAL IV",147760,150521,153316,156257,159496,163094,166559,170381,174204,177457,179746,181180,181544,181513,181552,181621,181974,182519,182866,182498,181140
"1510 MACRORREGIONAL III",140940,139917,138964,138197,137711,137518,139554,141926,144327,146304,147586,146422,144393,142116,139830,137598,136385,135332,134065,132333,129835
"1511 MACRORREGIONAL II",182110,181728,181487,181440,181737,182467,184577,187131,189708,191688,192738,191794,189768,187351,184963,182597,180779,179148,177204,174619,171053
"1512 MACRORREGIONAL I",306860,308687,310633,312912,315783,319364,321089,323488,325913,327304,327040,326661,324389,321464,318556,315719,314522,313639,312367,309864,305668
"1601 MACRO UNICA - AP",59999,61321,62864,64668,66770,69192,71735,74215,76534,78552,80177,81759,82711,83417,83586,82919,81788,80919,80229,80356,81075
"1701 MACRORREGIAO NORTE",65107,64646,64306,64090,63942,63890,64390,65002,65562,65898,65911,64943,63704,62540,61353,60400,60163,59642,58752,57916,56815
