"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1101 MACRORREGIONAL II (CACOAL)",15068,15042,14849,14536,14218,13890,13391,12965,12632,12318,11992,11744,11760,11767,11916,12055,11706,11710,11869,11725,11567
"1102 MACRORREGIAO I - PORTO VELHO",16237,16360,16317,16123,15886,15675,15331,15067,14886,14738,14568,14524,14807,15088,15562,16014,15772,16019,16470,16514,16541
"1201 MACRO UNICA - AC",16181,16495,16761,16970,17065,17187,17262,17230,17209,17176,16839,17044,17430,16872,17190,17360,16490,16381,16915,16833,16769
"1302 OESTE",14304,14672,14883,15029,15149,15386,14991,14679,14446,14326,14107,13945,14208,14360,14647,14627,13991,13858,14067,13936,13820
"1303 LESTE",13655,13756,13688,13537,13347,13257,13049,12959,12956,13035,12979,13117,13642,14068,14628,14908,14273,14149,14363,14230,14100
"1304 CENTRAL",53053,52958,52226,51103,49820,48999,49202,49863,50832,52061,52806,52132,53030,53477,54368,54259,52274,52160,53330,53253,53116
"1401 MACRO-RORAIMA",9719,9850,9848,9805,9855,9839,9810,9922,10076,10141,10256,10322,10404,10500,10695,10728,10850,11286,11693,12054,12322
"1509 MACRORREGIONAL IV",30926,31385,31670,31929,32204,32512,32846,33186,33456,33584,33488,33162,32785,32401,32830,33165,32340,32382,33353,33416,33501
"1510 MACRORREGIONAL III",29056,29282,29352,29376,29422,29493,28999,28498,27951,27316,26499,26111,25683,25261,25463,25590,24712,24518,25030,24858,24689
"1511 MACRORREGIONAL II",36505,36418,36142,35794,35474,35177,34972,34797,34542,34157,33552,33341,33108,32873,33458,33926,32750,32485,33122,32876,32632
"1512 MACRORREGIONAL I",64687,64002,62952,61777,60634,59534,59531,59579,59496,59164,58470,57289,56028,54749,54818,54705,52929,52630,53836,53553,53256
"1601 MACRO UNICA - AP",15266,15655,15918,16141,16259,16206,16052,15935,15843,15905,16065,15848,15334,15675,16348,16379,16257,16053,15942,15912,15868
"1701 MACRORREGIAO NORTE",12891,12758,12563,12395,12211,12091,12030,11925,11744,11601,11360,11425,11409,11216,11350,11597,11088,11100,11570,11523,11462
"1702 MACRORREGIAO CENTRO-SUL",15305,15131,14893,14676,14463,14312,14392,14392,14317,14234,14108,14085,13992,13681,13773,13971,13427,13492,14106,14114,14109
"2109 MACRORREGIAO SUL",26910,26483,25737,25308,24984,24739,24915,25151,24965,24460,23819,23915,23062,22280,22637,23014,22558,22553,22852,22681,22517
"2110 MACRORREGIAO NORTE",80861,79515,77345,76020,75074,74368,75057,75970,75593,74238,72483,72630,69899,67385,68292,69293,68025,68089,69132,68686,68267
"2111 MACRORREGIAO LESTE",34532,34219,33574,33262,33145,33108,32878,32733,32091,31054,29856,29741,28489,27305,27521,27760,27220,27209,27581,27373,27176
"2207 SEMI-ARIDO",11400,11327,11114,10764,10375,10043,9685,9343,9091,8844,8527,8674,8618,8379,8379,8649,8482,8399,8454,8352,8238
"2208 MEIO NORTE",25269,25328,25109,24571,23947,23478,22898,22389,22060,21686,21200,21064,20502,19466,19095,19264,19066,19064,19414,19305,19202
"2209 LITORAL",13455,13446,13252,12904,12511,12200,11809,11466,11250,11002,10688,10874,10835,10537,10595,10945,10769,10701,10834,10727,10608
"2210 CERRADOS",12076,12146,12082,11894,11657,11478,11048,10651,10339,10035,9651,9811,9773,9516,9554,9854,9730,9679,9814,9725,9639
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",9857,9618,9303,8958,8611,8359,8124,7905,7748,7603,7422,7342,7262,7156,7146,7360,7325,7232,7329,7267,7196
"2307 4� MACRO - SERTAO CENTRAL",13100,12627,12052,11412,10774,10250,10040,9875,9754,9669,9518,9552,9582,9570,9702,10141,10060,9916,10017,9914,9794
"2308 3� MACRO - CARIRI",29005,28592,28015,27353,26700,26291,25410,24606,23946,23378,22723,22436,22143,21802,21743,22350,22287,22066,22404,22266,22098
"2309 2� MACRO - SOBRAL",34592,33236,31598,29769,27948,26421,26055,25761,25617,25548,25317,25382,25434,25418,25751,26891,26672,26281,26552,26271,25952
"2310 1� MACRO - FORTALEZA",81435,79859,77701,75178,72670,70967,69911,69023,68448,68078,67406,66417,65426,64248,63979,65680,65757,65355,66643,66464,66224
"2401 MACRORREGIAO II",14516,14642,14681,14721,14799,14978,14576,14132,13726,13377,12911,12726,12654,12368,12320,12464,12119,11892,12075,12037,11981
"2402 MACRORREGIAO I",43746,42748,41459,40109,38785,37814,37707,37540,37447,37443,37110,36779,36811,36222,36363,37034,35962,35268,35836,35704,35575
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",17081,16962,16777,16535,16274,16039,15555,15029,14565,14118,13591,13181,12297,12119,13109,13758,13407,13268,13532,13427,13292
"2502 MACRORREGIAO II - CAMPINA GRANDE",20268,20036,19714,19305,18870,18488,18083,17669,17303,16955,16516,16028,14955,14756,15937,16722,16309,16155,16493,16351,16221
"2503 MACRORREGIAO I - JOAO PESSOA",32601,32271,31792,31177,30485,29874,29483,29036,28671,28340,27878,27044,25205,24847,26856,28156,27556,27382,28046,27901,27749
"2605 VALE DO S.FRANCISCO E ARARIPE",20315,20136,19779,19366,18924,18548,18380,18259,18176,18108,18002,17980,18263,18083,18048,18344,17633,17377,17956,17861,17763
"2606 SERTAO",16198,16286,16220,16122,16030,15969,15569,15218,14883,14581,14242,14246,14512,14416,14420,14691,14071,13820,14253,14129,14016
